Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
-11,1667,1680,69939.84,70206.0,-2927.7600000000384,-0.0038055563181156327,2024-03-29 02:45:00,2024-03-29 06:00:00,0 days 03:15:00
11,1681,1685,70325.37,70046.0,-3073.069999999949,-0.0039725350893994316,2024-03-29 06:15:00,2024-03-29 07:15:00,0 days 01:00:00
-11,1686,1688,69970.778,70249.0,-3060.4419999999373,-0.003976259918104574,2024-03-29 07:30:00,2024-03-29 08:00:00,0 days 00:30:00
11,1689,1696,70325.37,70179.0,-1610.0699999999488,-0.0020813257008103214,2024-03-29 08:15:00,2024-03-29 10:00:00,0 days 01:45:00
-11,1697,1730,70035.648,69969.0,733.1280000000115,0.0009516296615118547,2024-03-29 10:15:00,2024-03-29 18:30:00,0 days 08:15:00
11,1731,1733,70144.008,69913.0,-2541.088000000018,-0.0032933390404494833,2024-03-29 18:45:00,2024-03-29 19:15:00,0 days 00:30:00
-11,1734,1736,69725.27,70026.0,-3308.029999999955,-0.004313070426259946,2024-03-29 19:30:00,2024-03-29 20:00:00,0 days 00:30:00
11,1737,1747,70202.124,69961.0,-2652.3639999999577,-0.0034347108927929026,2024-03-29 20:15:00,2024-03-29 22:45:00,0 days 02:30:00
-11,1748,1750,69774.172,69986.0,-2330.1079999999347,-0.003035908473410398,2024-03-29 23:00:00,2024-03-29 23:30:00,0 days 00:30:00
11,1751,1753,70203.126,70234.0,339.61399999995774,0.0004397809863907476,2024-03-29 23:45:00,2024-03-30 00:15:00,0 days 00:30:00
-11,1754,1770,69938.842,70127.0,-2069.737999999954,-0.0026903219244036602,2024-03-30 00:30:00,2024-03-30 04:30:00,0 days 04:00:00
11,1771,1773,70300.32,70039.0,-2874.520000000077,-0.0037171950284153876,2024-03-30 04:45:00,2024-03-30 05:15:00,0 days 00:30:00
11,1774,1791,70243.206,70098.0,-1597.2660000000615,-0.0020671892453201224,2024-03-30 05:30:00,2024-03-30 09:45:00,0 days 04:15:00
-11,1792,1793,69959.8,70151.0,-2103.199999999968,-0.0027329980931907194,2024-03-30 10:00:00,2024-03-30 10:15:00,0 days 00:15:00
